index,bike_lane_type
1,striped
2,striped
3,protected
4,buffered
5,striped
7,striped
8,buffered
10,striped
12,roadway
13,striped
14,sidewalks
15,striped
16,striped
17,striped
18,protected
19,protected
20,protected
23,striped
24,striped
25,protected
26,striped
28,striped
29,protected
30,striped
31,protected
32,none
33,protected
34,striped
35,protected
36,buffered
38,striped
39,striped
40,protected
41,striped
42,striped
45,protected
46,striped
48,protected
53,striped
54,sidewalks
55,sidewalks
58,striped
59,sidewalks
60,sidewalks
61,striped
62,sidewalks
63,striped
66,striped
68,sidewalks
69,sidewalks
71,sidewalks
72,sidewalks
73,roadway
74,sidewalks
75,sidewalks
76,none
77,sidewalks
79,striped
80,none
81,none
82,roadway
83,roadway
85,roadway
86,roadway
87,sidewalks
88,none
89,sidewalks
90,striped
91,none
92,none
93,none
94,sidewalks
95,roadway
97,sidewalks
98,none
101,none
103,none
104,sidewalks
105,none
106,roadway
107,sidewalks
108,sidewalks
109,none
112,sidewalks
113,sidewalks
114,sidewalks
115,none
116,sidewalks
117,roadway
118,none
120,roadway
121,roadway
123,sidewalks
124,sidewalks
126,sidewalks
127,sidewalks
128,none
129,roadway
130,sidewalks
132,sidewalks
133,sidewalks
134,roadway
135,none
137,none
138,sidewalks
139,roadway
140,sidewalks
141,sidewalks
142,roadway
144,roadway
145,none
147,none
148,none
149,none
152,none
153,striped
154,striped
156,roadway
157,striped
159,striped
161,sidewalks
163,sidewalks
164,sidewalks
165,roadway
167,sidewalks
168,sidewalks
169,striped
170,sidewalks
171,roadway
172,sidewalks
173,striped
174,sidewalks
179,protected
180,roadway
181,sidewalks
182,striped
184,sidewalks
185,striped
187,striped
188,striped
190,sidewalks
192,sidewalks
193,sidewalks
194,sidewalks
195,sidewalks
196,sidewalks
197,striped
198,shared
199,sidewalks
201,striped
203,sidewalks
204,sidewalks
205,striped
207,striped
208,striped
210,sidewalks
211,striped
212,striped
213,buffered
214,sidewalks
215,striped
216,striped
217,protected
220,sidewalks
221,roadway
222,none
224,sidewalks
225,sidewalks
226,sidewalks
227,protected
228,striped
230,sidewalks
231,none
235,sidewalks
237,sidewalks
240,sidewalks
241,shared
242,none
243,sidewalks
245,sidewalks
248,roadway
253,sidewalks
254,sidewalks
255,sidewalks
260,sidewalks
261,sidewalks
262,sidewalks
266,shared
267,sidewalks
272,protected
274,sidewalks
275,sidewalks
276,sidewalks
279,sidewalks
283,sidewalks
285,none
289,sidewalks
290,sidewalks
291,sidewalks
292,sidewalks
294,sidewalks
297,sidewalks
298,sidewalks
299,sidewalks